id,name,street,stars,latitude,longitude,imageUrl,locationId
1,Hotel Castor,Route Ramey,5,45.8319772,7.7264875,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,436
2,Favre,Chemin Quaille,2,45.8315225,7.725511,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,436
3,Hotel RTA Les Coupoles,Route Ramey,3,45.8332848,7.7267121,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,436
4,Hotel L'Aiglon,Route Ramey,3,45.8335265,7.7268078,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,436
5,Hotel Miage,Pont Suaz,3,45.7270013,7.3227,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2081
6,Hôtel du Foyer,Rue des Pians,3,45.7637152,7.7140986,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,1014
7,Hotel Ristorante Pizzeria Armanac de Toubie,Frazione Clapey,4,45.6485107,7.7150411,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,350
8,Hotel Restaurant Valdôtain,Piazza Assunzione,5,45.7024587,7.2068821,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,8337
9,Albergo del Ponte,,1,45.857828,7.8475207,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,3329
10,Aiguille Noire,Via Passerin D' Entreves,1,45.8145033,6.9630565,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
11,RTA Les Clochettes,Viale Avvocato Cesare Bionaz,5,45.7165622,7.7372639,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2075
12,Hotel Lo Saros,Loc. Longeon - Sommarese,2,45.7320833,7.7136476,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2664
13,Albergo Mont Nery,Viale Avvocato Cesare Bionaz,2,45.7160385,7.7372875,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2075
14,Hotel Ristorante Croce Bianca,,5,45.7391047,7.7466118,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,1014
15,Hotel Moderno,Rue Trois Villages,5,45.7582983,7.7290291,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,1014
16,Hotel Nord,Rue Trois Villages,1,45.7581327,7.7298473,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,1014
17,Residence Aquila,Rue Trois Villages,2,45.7582214,7.7315096,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,1014
18,Etoile de Neige,,1,45.7496633,7.7011115,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2664
19,Albergo Punta Zerbion,Frazione Corbet,4,45.798547,7.6941972,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,436
20,Hotel Miravidi,Strada Regionale 8 di La Magdeleine,2,45.8131037,7.6186139,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,3499
21,Bellevue,Rue Grand Paradis,5,45.6066307,7.355581,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2250
22,Hotel Relais St. Gilles,Via Circonvallazione,4,45.6689516,7.6866941,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,8143
23,Hotel Genzianella,Loc. Saint Jacques - Place de La Grote,5,45.8614966,7.7305558,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,436
24,La Madonnina del Gran Paradiso,Via Laydetré,4,45.6042538,7.3556357,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2250
25,De La Tor,Via Dottor Grappein,3,45.6104891,7.3550174,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2250
26,Bouton d'Or,Via Cavagnet,1,45.6114685,7.3497925,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2250
27,Miramonti,Via Cavagnet,4,45.6093338,7.3538627,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2250
28,Maison Pierrot,Via Dottor Grappein,5,45.6103268,7.354017,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2250
29,"Hotel ""Lou Tsantelet""",Frazione Valnontey,5,45.5862018,7.3396815,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2250
30,"Hotel Ristorante Pizzeria Bar ""Chateau""",fraz. St. Maurice,2,45.700454,7.2469763,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,437
31,Hotel Rendez Vous,Frazione Urbains,2,45.7035159,7.2511922,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,437
32,Albergo Carla,Via Nazionale per Carema,1,45.5872856,7.8020635,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,1415
33,L'Arolla,Fraz. Lillaz,1,45.5947894,7.390307,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2250
34,Hotel Hirondelle,Località Arpuilles,4,45.7509575,7.3062456,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,278
35,La Maison de Dolphe,Loc. Les Cretes,2,45.7595545,7.7158525,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,1014
36,L'Abreny,Chemin Les Cretes,4,45.7593275,7.7158231,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,1014
37,Valley Vacanze,Rue Valley,2,45.759719,7.734743,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,1014
38,Albergo Gran Paradiso,Loc. Pont Valsavarenche,1,45.5243114,7.2005361,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,7997
39,Hotel Vallée de Cogne,Via Cavagnet,2,45.6119204,7.3481323,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2250
40,La Maison de Memé,Strada Regionale 44 della Valle del Lys,1,45.6471104,7.859856,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2886
41,Hotel Saint Nicolas,Fossaz,3,45.7155909,7.1661338,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,6339
42,Hotel Cristallo,Via Roma,3,45.7881394,6.9736366,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
43,Hotel Chateau Blanc,,5,45.715653,6.9468469,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,3515
44,Hotel Ristorante Laghetto,Rue Trois Villages,2,45.7608892,7.721292,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,1014
45,RTA Foyer d'Antan,Via Col Ranzola,2,45.7605111,7.7302397,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,1014
46,Hotel Monte Cervino,Chemin de Soussun,4,45.8505692,7.7348475,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,436
47,Albergo Posta,Strada Regionale 44 della Valle del Lys,5,45.685899,7.8537283,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,3473
48,Hotel Dufour,Località Edelboden Superiore,3,45.8311957,7.8229359,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,3329
49,Hotel Residence Mont Blanc,Rue Grand Paradis,2,45.6069744,7.3559737,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2250
50,La Roche Hotel - appartments,loc Clou,3,45.7580865,7.3168779,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,278
51,Ristoro Saint Roch,,4,45.6142998,7.7310931,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,3411
52,Hotel Miravalle,Località Plampincieux,3,45.8308938,6.9852723,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
53,Hôtel des Alpes,località cuchepache,3,45.8220513,7.1722477,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,6342
54,Club Esse Pila 2000,Strada Pila-Ozein,3,45.6854474,7.3101129,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2081
55,Della Nouva,Pila,4,45.6847266,7.3107473,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2081
56,Mito,Via Chanoux,4,45.7500265,7.6196151,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2082
57,Jumeaux,Piazza Jumeaux,3,45.9373152,7.6291435,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,8003
58,Residence Universo,Place Vittorio Emanuele II,3,45.7636741,6.9864638,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,5759
59,Hotel Astoria,Strada la Palud,1,45.8183338,6.9640676,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
60,Hotel meublé Meridiana,Via Roma,3,45.876574,7.624256,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,8003
61,Hotel Casale,Loc. Condemine 1,3,45.7449743,7.3552877,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,6336
62,Aethos Champoluc,Strada Regionale 45 della Valle D'Ayas,2,45.8466536,7.7335095,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,436
63,La Belle Epoque,Via - Rue Claude d'Avise,2,45.7364166,7.3159052,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,278
64,Hotel Lo Fleyé,Loc. Bussan Dessus,2,45.7135831,7.2324894,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,6341
65,Fenat Apartments & Suite Bike Hotel,Plan d'Introd 52 Introd (AO),1,45.6897199,7.1867897,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,3430
66,Hotel Aigle,Strada La Palud,3,45.8141506,6.9635792,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
67,Locanda la Brenva,Scorciatoia Raccourci della Palud,3,45.8161738,6.9611371,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
68,HB Aosta Hotel,Via/Rue Malherbes,3,45.7365057,7.3151774,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,278
69,Residence Les Myosotis,Rue Tiquit,3,45.8150202,7.6897341,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,436
70,Villa Novecento,Viale Monte Bianco,3,45.7960186,6.9695392,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
71,Albergo del viale,Viale Monte Bianco,4,45.7963294,6.9696401,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
72,L'Abri des Amis,Strada Entrelevie,1,45.7997036,6.9675447,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
73,Maison Saint Jean,Vicolo Dolonne,4,45.7905889,6.9716212,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
74,Lo Campagnard,Rue Des Granges,2,45.7903209,6.96327,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
75,Hotel Berthod,Via/Rue Mario Puchoz,3,45.7901223,6.9726411,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
76,Hotel Courmayeur,Via Roma,1,45.7879383,6.9732273,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
77,Maison di Luisa,Strada la Palud,2,45.8197827,6.965353,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
78,Hotel Funivia,Via San Bernardo,3,45.8187745,6.9648243,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
79,Dente del Gigante,Strada la Palud,1,45.8192297,6.9651703,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
80,Hotel Joli,Strada la Palud,2,45.8183151,6.9635557,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
81,Auberge de a Maison,Via Passerin D' Entreves,5,45.8147204,6.9619191,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
82,Maison Altea,Via Padri Somaschi,4,45.811518,6.9623966,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
83,Bucaneve,Piazza Jumeaux,4,45.9372703,7.6288953,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,8003
84,Hotel Bucaneve,Avenue du Mont Blanc,1,45.7639107,6.9870437,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,5759
85,Hotel Petit Foyer,Località Lillaz,4,45.7411095,7.3866924,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,984
86,"Hotel ""Petit Dahu""",Frazione Valnontey,2,45.5868206,7.3411336,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2250
87,"Hotel ""Meuble Valerosa""",Frazione Valnontey,5,45.5866824,7.3409463,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2250
88,"Hotel ""Herbetet""",Frazione Valnontey,5,45.5862167,7.3412795,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2250
89,Hotel Sant'Orso,Rue Bourgeois,2,45.6083569,7.3547224,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2250
90,Hotel Beau Séjour,Via Corrado Gex,3,45.7019529,7.1545347,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,375
91,Hotel Col du Mont,Via Corrado Gex,4,45.7005729,7.1584488,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,375
92,Hotel Walser,Strada della Margherita,5,45.7896241,6.9705838,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
93,Hotel Centrale,Via/Rue Mario Puchoz,2,45.7904609,6.973061,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
94,Hotel Croux,Via Croux,2,45.7920014,6.9708837,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
95,Hotel Crampon,Strada della Villette,3,45.7925416,6.9702466,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
96,Hotel Les Jumeaux Courmayeur,Strada Regionale,1,45.7855205,6.9718643,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
97,Le Massif Hotel & Lodge Courmayeur,Strada Regionale,2,45.7852893,6.9726936,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
98,Hotel Pavillon,Strada Regionale,4,45.7843515,6.9729801,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
99,Gran Baita Hotel & Wellness Resort,Strada Larzey - Entreves,4,45.7984488,6.9685928,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
100,Chalet Svizzero Hotel & Restaurant,"Strada Statale n. 26, 11",5,45.7939279,6.9679243,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
101,Pilier d'Angle,Via Grandes Jorasses,3,45.8167628,6.9616448,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
102,Hotel dei Camosci,Strada Larzey - Entreves,5,45.8011614,6.9679886,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
103,Hostellerie du Cheval Blanc,Via Clavalité,4,45.7389319,7.3367957,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,278
104,Hotel Crabun,Via Nazionale Donnas,3,45.6012002,7.7936606,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,5610
105,Miravidi,Via Camillo Pellissier,3,45.9386771,7.6294712,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,8003
106,Hotel Punta Maquingnaz,Piazza Guide Maquignaz,4,45.9371865,7.6294863,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,8003
107,Aux Pieds du Roi,Via Camillo Pellissier,5,45.9383465,7.6290513,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,8003
108,Hotel Europa,Via Camillo Pellissier,5,45.9378418,7.6294536,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,8003
109,Hôtel Étoile du Nord,Frazione Arensod,4,45.7192481,7.2645402,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,6956
110,Hotel Grandes Murailles,Via Roma,3,45.8772428,7.6231994,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,8003
111,Hotel Tantané,frazione brengon,1,45.8091723,7.6190419,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,3499
112,Grand Hotel Royal E Golf,Via Roma,5,45.7890258,6.9727528,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
113,Hotel Bouton d'Or,Strada Statale 26 dir della Valle d'Aosta,2,45.7923726,6.9699623,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
114,Hotel Ristorante Olympic,Via G. Marconi,5,45.7519315,7.6449321,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,6343
115,Excelsior Planet,Via Planet,4,45.9373663,7.6299749,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,8003
116,Agriturismo Mont Rosset,Frazione Mont Rosset,1,45.7089186,7.2785427,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,3494
117,Les Neiges d'Antan,Cret,3,45.9060636,7.6178419,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,8003
118,Grand Hotel Courmayeur Mont Blanc,Strada Grand Ru,3,45.7962052,6.9726353,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,2472
119,Hotel La Thuile & SPA,Località Bathieu,5,45.7165733,6.9526964,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,3515
120,Hotel Ellex,,3,45.859713,7.8135655,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,3329
